Series;Time;Value
NSW-IX;2018-09-02-00:05:00;147519349579.483
NSW-IX;2018-09-02-00:10:00;148320702478.2635
NSW-IX;2018-09-02-00:15:00;149059738665.3029
NSW-IX;2018-09-02-00:20:00;150168349136.6675
NSW-IX;2018-09-02-00:25:00;151000422790.5334
NSW-IX;2018-09-02-00:30:00;151783607713.71075
NSW-IX;2018-09-02-00:35:00;152151323372.95624
NSW-IX;2018-09-02-00:40:00;152654091787.4732
NSW-IX;2018-09-02-00:45:00;153438682944.90332
NSW-IX;2018-09-02-00:50:00;154890389965.19843
NSW-IX;2018-09-02-00:55:00;156532588858.37524
NSW-IX;2018-09-02-01:00:00;157678665497.49805
NSW-IX;2018-09-02-01:05:00;158511077835.98236
NSW-IX;2018-09-02-01:10:00;158389449954.70444
NSW-IX;2018-09-02-01:15:00;157921575716.95248
NSW-IX;2018-09-02-01:20:00;157241830542.11847
NSW-IX;2018-09-02-01:25:00;157397889470.7998
NSW-IX;2018-09-02-01:30:00;157647325048.5565
NSW-IX;2018-09-02-01:35:00;158074950902.48013
NSW-IX;2018-09-02-01:40:00;158364269784.19238
NSW-IX;2018-09-02-01:45:00;158805343015.92026
NSW-IX;2018-09-02-01:50:00;159155268933.57797
NSW-IX;2018-09-02-01:55:00;159902907666.1497
NSW-IX;2018-09-02-02:00:00;160498466483.9958
NSW-IX;2018-09-02-02:05:00;161188795908.49286
NSW-IX;2018-09-02-02:10:00;161786080967.34418
NSW-IX;2018-09-02-02:15:00;162235688892.27808
NSW-IX;2018-09-02-02:20:00;162038095629.98828
NSW-IX;2018-09-02-02:25:00;162201589578.21713
NSW-IX;2018-09-02-02:30:00;162333196020.8052
NSW-IX;2018-09-02-02:35:00;162430200985.31104
NSW-IX;2018-09-02-02:40:00;162255139173.70993
NSW-IX;2018-09-02-02:45:00;162605032877.5227
NSW-IX;2018-09-02-02:50:00;163165082659.63168
NSW-IX;2018-09-02-02:55:00;163944004048.28043
NSW-IX;2018-09-02-03:00:00;164816113945.27838
NSW-IX;2018-09-02-03:05:00;166065694386.8974
NSW-IX;2018-09-02-03:10:00;166895387521.2499
NSW-IX;2018-09-02-03:15:00;167839292352.54175
NSW-IX;2018-09-02-03:20:00;168787703902.8017
NSW-IX;2018-09-02-03:25:00;169292021802.5987
NSW-IX;2018-09-02-03:30:00;169823368866.49536
NSW-IX;2018-09-02-03:35:00;170669552263.6513
NSW-IX;2018-09-02-03:40:00;170896868460.3612
NSW-IX;2018-09-02-03:45:00;170901248443.00525
NSW-IX;2018-09-02-03:50:00;171178788071.8981
NSW-IX;2018-09-02-03:55:00;171270696336.25287
NSW-IX;2018-09-02-04:00:00;171806014448.69086
NSW-IX;2018-09-02-04:05:00;172553995594.90475
NSW-IX;2018-09-02-04:10:00;173146263347.7915
NSW-IX;2018-09-02-04:15:00;174019099144.7409
NSW-IX;2018-09-02-04:20:00;175035048272.83896
NSW-IX;2018-09-02-04:25:00;175379161629.8986
NSW-IX;2018-09-02-04:30:00;175680120960.33844
NSW-IX;2018-09-02-04:35:00;176244392350.39877
NSW-IX;2018-09-02-04:40:00;176819784356.91144
NSW-IX;2018-09-02-04:45:00;177100161118.6648
NSW-IX;2018-09-02-04:50:00;177208796188.3919
NSW-IX;2018-09-02-04:55:00;177258143123.2407
NSW-IX;2018-09-02-05:00:00;177426133045.7583
NSW-IX;2018-09-02-05:05:00;177763373236.8802
NSW-IX;2018-09-02-05:10:00;178130246559.95566
NSW-IX;2018-09-02-05:15:00;178996760432.9008
NSW-IX;2018-09-02-05:20:00;179648141328.28925
NSW-IX;2018-09-02-05:25:00;179793394568.43164
NSW-IX;2018-09-02-05:30:00;179530790088.84637
NSW-IX;2018-09-02-05:35:00;179467203270.11417
NSW-IX;2018-09-02-05:40:00;179614244605.76862
NSW-IX;2018-09-02-05:45:00;179929618521.18024
NSW-IX;2018-09-02-05:50:00;180296394955.2059
NSW-IX;2018-09-02-05:55:00;180671955510.93964
NSW-IX;2018-09-02-06:00:00;180967365079.74707
NSW-IX;2018-09-02-06:05:00;180672105153.5345
NSW-IX;2018-09-02-06:10:00;177035618429.53296
NSW-IX;2018-09-02-06:15:00;175751930736.00626
NSW-IX;2018-09-02-06:20:00;176091968831.2835
NSW-IX;2018-09-02-06:25:00;175753213859.95334
NSW-IX;2018-09-02-06:30:00;175275247457.8714
NSW-IX;2018-09-02-06:35:00;178086950105.00473
NSW-IX;2018-09-02-06:40:00;179257192858.0122
NSW-IX;2018-09-02-06:45:00;178812971346.4374
NSW-IX;2018-09-02-06:50:00;179311248741.7125
NSW-IX;2018-09-02-06:55:00;180088258264.8993
NSW-IX;2018-09-02-07:00:00;181582203829.9977
NSW-IX;2018-09-02-07:05:00;182047453474.36334
NSW-IX;2018-09-02-07:10:00;182669713965.5559
NSW-IX;2018-09-02-07:15:00;182396114632.52383
NSW-IX;2018-09-02-07:20:00;182423666166.25116
NSW-IX;2018-09-02-07:25:00;181586951126.03503
NSW-IX;2018-09-02-07:30:00;181299336558.59207
NSW-IX;2018-09-02-07:35:00;181175233230.87143
NSW-IX;2018-09-02-07:40:00;181389672268.18915
NSW-IX;2018-09-02-07:45:00;181693703870.74567
NSW-IX;2018-09-02-07:50:00;181761143738.00067
NSW-IX;2018-09-02-07:55:00;181221560916.82135
NSW-IX;2018-09-02-08:00:00;180609227558.73447
NSW-IX;2018-09-02-08:05:00;180127847678.2498
NSW-IX;2018-09-02-08:10:00;179069288777.93405
NSW-IX;2018-09-02-08:15:00;172882788328.05478
NSW-IX;2018-09-02-08:20:00;172247657772.85565
NSW-IX;2018-09-02-08:25:00;171009579096.15472
NSW-IX;2018-09-02-08:30:00;169507496670.89957
NSW-IX;2018-09-02-08:35:00;168099320601.20786
NSW-IX;2018-09-02-08:40:00;172014051993.19812
NSW-IX;2018-09-02-08:45:00;170611694011.89697
NSW-IX;2018-09-02-08:50:00;168983024408.74716
NSW-IX;2018-09-02-08:55:00;166957112673.57635
NSW-IX;2018-09-02-09:00:00;165644096902.2088
NSW-IX;2018-09-02-09:05:00;163923485385.18658
NSW-IX;2018-09-02-09:10:00;161907339445.46878
NSW-IX;2018-09-02-09:15:00;160074696948.94562
NSW-IX;2018-09-02-09:20:00;158477734783.56027
NSW-IX;2018-09-02-09:25:00;155627876509.5482
NSW-IX;2018-09-02-09:30:00;152979405705.70517
NSW-IX;2018-09-02-09:35:00;150543839977.36752
NSW-IX;2018-09-02-09:40:00;147875867688.40887
NSW-IX;2018-09-02-09:45:00;144823699759.4393
NSW-IX;2018-09-02-09:50:00;142062198524.26254
NSW-IX;2018-09-02-09:55:00;139098006662.72522
NSW-IX;2018-09-02-10:00:00;136161368800.48154
NSW-IX;2018-09-02-10:05:00;133767798486.60869
NSW-IX;2018-09-02-10:10:00;132000336007.3052
NSW-IX;2018-09-02-10:15:00;126283505753.34595
NSW-IX;2018-09-02-10:20:00;124180498057.51863
NSW-IX;2018-09-02-10:25:00;121882517255.05624
NSW-IX;2018-09-02-10:30:00;119065794890.41306
NSW-IX;2018-09-02-10:35:00;115922906832.50188
NSW-IX;2018-09-02-10:40:00;116487479827.39749
NSW-IX;2018-09-02-10:45:00;113681957986.19711
NSW-IX;2018-09-02-10:50:00;111098936614.9971
NSW-IX;2018-09-02-10:55:00;108901793680.48752
NSW-IX;2018-09-02-11:00:00;107491468598.81071
NSW-IX;2018-09-02-11:05:00;106351970218.13733
NSW-IX;2018-09-02-11:10:00;105356315897.78503
NSW-IX;2018-09-02-11:15:00;104039136758.99873
NSW-IX;2018-09-02-11:20:00;102358732390.45404
NSW-IX;2018-09-02-11:25:00;100111626198.89934
NSW-IX;2018-09-02-11:30:00;97915483940.83398
NSW-IX;2018-09-02-11:35:00;95389108723.9465
NSW-IX;2018-09-02-11:40:00;93189942174.23624
NSW-IX;2018-09-02-11:45:00;90817620815.42589
NSW-IX;2018-09-02-11:50:00;88821332712.50578
NSW-IX;2018-09-02-11:55:00;86741523842.72212
NSW-IX;2018-09-02-12:00:00;85315286906.72409
NSW-IX;2018-09-02-12:05:00;83885942196.89401
NSW-IX;2018-09-02-12:10:00;82536983434.19514
NSW-IX;2018-09-02-12:15:00;81146021380.8852
NSW-IX;2018-09-02-12:20:00;79757072371.13135
NSW-IX;2018-09-02-12:25:00;77811255434.18765
NSW-IX;2018-09-02-12:30:00;76201360763.61626
NSW-IX;2018-09-02-12:35:00;75167715342.42923
NSW-IX;2018-09-02-12:40:00;73598403149.62875
NSW-IX;2018-09-02-12:45:00;71892567030.27019
NSW-IX;2018-09-02-12:50:00;70447468887.06494
NSW-IX;2018-09-02-12:55:00;68840005941.29749
NSW-IX;2018-09-02-13:00:00;68245348456.1802
NSW-IX;2018-09-02-13:05:00;68900709491.68814
NSW-IX;2018-09-02-13:10:00;70079822636.0167
NSW-IX;2018-09-02-13:15:00;71235943656.92383
NSW-IX;2018-09-02-13:20:00;72361660800.52344
NSW-IX;2018-09-02-13:25:00;72172676896.087
NSW-IX;2018-09-02-13:30:00;71128514974.36624
NSW-IX;2018-09-02-13:35:00;69503124497.6338
NSW-IX;2018-09-02-13:40:00;67821050688.46128
NSW-IX;2018-09-02-13:45:00;66250554610.13469
NSW-IX;2018-09-02-13:50:00;64819293280.00195
NSW-IX;2018-09-02-13:55:00;63441491959.81456
NSW-IX;2018-09-02-14:00:00;62801204656.14357
NSW-IX;2018-09-02-14:05:00;62338289532.56236
NSW-IX;2018-09-02-14:10:00;61854225735.92582
NSW-IX;2018-09-02-14:15:00;61228218744.35913
NSW-IX;2018-09-02-14:20:00;60443854576.90312
NSW-IX;2018-09-02-14:25:00;59425412603.85338
NSW-IX;2018-09-02-14:30:00;58914835977.92316
NSW-IX;2018-09-02-14:35:00;58150592090.7625
NSW-IX;2018-09-02-14:40:00;57625443959.35646
NSW-IX;2018-09-02-14:45:00;57164155374.683
NSW-IX;2018-09-02-14:50:00;56692545451.12013
NSW-IX;2018-09-02-14:55:00;55830355237.45778
NSW-IX;2018-09-02-15:00:00;55619700154.04555
NSW-IX;2018-09-02-15:05:00;55251627185.883446
NSW-IX;2018-09-02-15:10:00;54954579592.37047
NSW-IX;2018-09-02-15:15:00;55002636380.997314
NSW-IX;2018-09-02-15:20:00;54875613603.28722
NSW-IX;2018-09-02-15:25:00;54488859162.895805
NSW-IX;2018-09-02-15:30:00;54922401362.30275
NSW-IX;2018-09-02-15:35:00;55468358086.41649
NSW-IX;2018-09-02-15:40:00;55823421653.42094
NSW-IX;2018-09-02-15:45:00;56385524075.86881
